Grade, Gender, Age, :D School, :D Person, Stress, Cohabitants, Job, Politics, Sleep(D), Enough Sleep, :D w/Tech, Websites, Req. Work, Vid Games, Instrument, Exercise, Friends, Nature, Other, Timestamp
Freshman, M, 14, 7, 3, 5, 3, No, 1, 7, 1, 5, Gmail; Google search; Wikipedia, 15, 1.5, 25, 2, 5, 1, 5, 12/10/15 9:57
Freshman, M, 14, 5, 7, 4, 6, Yes, 2, 7.5, 5, 4, Gmail; YouTube; Google search; Amazon; Wikipedia, 4, 0.5, 14, 9, 11, 2, 13, 12/10/15 12:07
Freshman, M, 14, 7, 3, 5, 3, No, 1, 7, 1, 5, Gmail; Google search; Wikipedia, 15, 1.5, 25, 2, 5, 1, 5, 12/10/15 14:08
Freshman, M, 14, 1, 1, 3, 4, No, 4, 8, 3, 1, YouTube; Google search; Amazon; Netflix, 3, 5, 0, 5, 10, 1, 0, 12/11/15 8:54
Freshman, F, 15, 7, 7, 6, 4, No, 3, 8, 1, 7, YouTube; Google search; Amazon, 28, 0, 0, 8, 6, 2, 3, 12/11/15 9:00
Freshman, F, 15, 7, 7, 4, 3, No, 2, 8, 4, 7, Gmail; Google search, 28, 0, 0, 8, 3, 0.5, 4, 12/11/15 9:00
Freshman, F, 15, 7, 6, 4, 4, No, 2, 9, 5, 4, Gmail; Facebook; YouTube; Google search; Netflix, 50, 25, 0, 3, 4, 4, 5, 12/11/15 11:10
Sophomore, M, 15, 5, 5, 1, 4, No, 3, 8, 6, 5, Gmail; Facebook; YouTube; Google search; Wikipedia, 8, 16, 10, 1, 2, 0, 0, 12/9/15 15:22
Sophomore, F, 15, 3, 2, 6, 10, No, 4, 7, 2, 5, Gmail; Facebook; Netflix, 10, 0, 3, 10, 10, 1, 5, 12/10/15 8:21
Sophomore, M, 15, 5, 4, 5, 4, Yes, 4, 6, 3, 7, Gmail; Facebook; YouTube; Google search; Yelp; Amazon; Wikipedia; Netflix, 12, 6, 0, 6, 6, 2, 8, 12/10/15 9:37
Sophomore, M, 15, 7, 4, 5, 4, Yes, 2, 8.5, 5, 7, Gmail; YouTube; Google search; Amazon; Netflix, 13, 6, 0, 0.75, 3.5, 0, 0, 12/10/15 9:42
Sophomore, F, 15, 4, 5, 4, 3, No, 2, 7.75, 5, 5, Gmail; Facebook; YouTube; Google search; Wikipedia; Netflix; Twitter, 10, 4, 0, 4, 1, 1.5, 3, 12/10/15 12:00
Sophomore, M, 16, 6, 6, 4, 3, No, 3, 6, 4, 6, Gmail; Facebook; YouTube; Google search; Amazon; Wikipedia; Netflix; Twitter, 7, 0, 1.5, 4, 5, 3, 3, 12/11/15 10:40
Junior, F, 16, 6, 6, 3, 4, No, 3, 8, 5, 5, Gmail; Google search, 15, 0, 0.5, 15, 1, 8, 2, 12/9/15 14:55
Junior, M, 16, 5, 5, 2, 4, No, 1, 9, 5, 5, Gmail; Facebook; YouTube; Google search; Wikipedia; Netflix, 9, 4, 1, 8, 5, 2, 1, 12/9/15 15:15
Junior, M, 16, 5, 6, 3, 3, No, 4, 7, 4, 5, Gmail; Facebook; Google search; Netflix, 18, 1, 1, 6, 3, 1, 5, 12/10/15 8:24
Junior, M, 17, 3, 1, 5, 5, No, 5, 6, 4, 7, Gmail; Facebook; YouTube; Google search; Wikipedia, 18, 20, 2, 14, 0, 0, 0, 12/11/15 9:30
Senior, M, 17, 2, 6, 5, 3, No, 3, 7.5, 1, 7, Gmail; Facebook; YouTube; Google search; Netflix, 15, 2, 5, 6, 48, 5, 7, 12/9/15 15:13
Senior, F, 16, 2, 5, 5, 2, No, 2, 7, 3, 3, Gmail; Facebook; YouTube; Google search; Netflix, 4.5, 1, 1, 3, 1, 2, 6, 12/9/15 17:15
Senior, F, 18, 6, 7, 4, 3, Yes, 4, 6.5, 1, 4, Gmail; Facebook; YouTube; Google search; Amazon, 25.3, 0, 0, 15, 2, 4, 10, 12/9/15 18:01
Senior, F, 18, 4, 3, 6, 3, No, 2, 6, 1, 6, Gmail; Facebook; YouTube; Google search; Amazon; Wikipedia; Netflix; Twitter, 30, 0, 1, 1, 3, 0, 15, 12/11/15 11:15
