Age,:D_School,:D_Person,Stress,Co-habitants,Politics,Sleep(D),Enough_Sleep,:D_w/Tech,Req.Work,Vid_Games,Instrument,Exercise,Friends,Nature,Other
14,7,3,5,3,1,7,1,5,15,1.5,25,2,5,1,5
14,5,7,4,6,2,7.5,5,4,4,0.5,14,9,11,2,13
14,7,3,5,3,1,7,1,5,15,1.5,25,2,5,1,5
14,1,1,3,4,4,8,3,1,3,5,0,5,10,1,0
15,7,7,6,4,3,8,1,7,28,0,0,8,6,2,3
15,7,7,4,3,2,8,4,7,28,0,0,8,3,0.5,4
15,7,6,4,4,2,9,5,4,50,25,0,3,4,4,5
15,5,5,1,4,3,8,6,5,8,16,10,1,2,0,0
15,3,2,6,10,4,7,2,5,10,0,3,10,10,1,5
15,5,4,5,4,4,6,3,7,12,6,0,6,6,2,8
15,7,4,5,4,2,8.5,5,7,13,6,0,0.75,3.5,0,0
15,4,5,4,3,2,7.75,5,5,10,4,0,4,1,1.5,3
16,6,6,4,3,3,6,4,6,7,0,1.5,4,5,3,3
16,6,6,3,4,3,8,5,5,15,0,0.5,15,1,8,2
16,5,5,2,4,1,9,5,5,9,4,1,8,5,2,1
16,5,6,3,3,4,7,4,5,18,1,1,6,3,1,5
17,3,1,5,5,5,6,4,7,18,20,2,14,0,0,0
17,2,6,5,3,3,7.5,1,7,15,2,5,6,48,5,7
16,2,5,5,2,2,7,3,3,4.5,1,1,3,1,2,6
18,6,7,4,3,4,6.5,1,4,25.3,0,0,15,2,4,10
18,4,3,6,3,2,6,1,6,30,0,1,1,3,0,15
